Team,Drafting Good Players(raw),Total drafted Players,Drafting Good Players(%),Years spent by drafted players here,Years spent by drafted players in the league,Drafting Loyal Players
ATL,60,150,0.4,760,416,0.5473684210526316
BOS,80,206,0.3883495145631068,1008,608,0.6031746031746031
CLE,62,136,0.45588235294117646,763,387,0.5072083879423329
NOP,8,18,0.4444444444444444,68,33,0.4852941176470588
CHI,77,143,0.5384615384615384,920,431,0.46847826086956523
DAL,50,109,0.45871559633027525,615,321,0.5219512195121951
DEN,57,111,0.5135135135135135,639,305,0.47730829420970267
GSW,35,65,0.5384615384615384,378,197,0.5211640211640212
HOU,71,125,0.568,730,341,0.4671232876712329
LAC,42,99,0.42424242424242425,572,263,0.4597902097902098
LAL,77,154,0.5,926,446,0.4816414686825054
MIA,39,79,0.4936708860759494,470,252,0.5361702127659574
MIL,60,110,0.5454545454545454,678,336,0.49557522123893805
MIN,41,77,0.5324675324675324,490,231,0.4714285714285714
BKN,9,25,0.36,99,55,0.5555555555555556
NYK,88,225,0.39111111111111113,1054,577,0.547438330170778
ORL,34,71,0.4788732394366197,430,189,0.43953488372093025
IND,54,103,0.5242718446601942,631,344,0.5451664025356577
PHI,44,76,0.5789473684210527,506,201,0.39723320158102765
PHX,63,151,0.41721854304635764,772,379,0.49093264248704666
POR,70,141,0.49645390070921985,850,411,0.4835294117647059
SAC,44,96,0.4583333333333333,536,248,0.4626865671641791
SAS,28,52,0.5384615384615384,323,170,0.5263157894736842
OKC,16,35,0.45714285714285713,188,97,0.5159574468085106
TOR,31,59,0.5254237288135594,380,176,0.4631578947368421
UTA,35,68,0.5147058823529411,423,193,0.4562647754137116
MEM,25,69,0.36231884057971014,341,172,0.5043988269794721
WAS,69,140,0.4928571428571429,805,378,0.46956521739130436
DET,75,161,0.4658385093167702,899,437,0.4860956618464961
CHA,22,44,0.5,245,135,0.5510204081632653
